campaign_id,platform,ad_version,campaign_name,campaign_type,campaign_cost,total_revenue,click_through_rate,conversion_rate,impressions,date
C001,Google,A,Winter Collection,Brand Awareness,1107.11,2842.98,0.06,Low,23061,2024-01-01
C002,Instagram,B,Black Friday Deal,Brand Awareness,1220.07,1938.04,0.07,Low,20428,2024-01-02
C003,YouTube,A,Holiday Extravaganza,Brand Awareness,974.97,2410.88,0.06,Medium,19737,2024-01-03
C004,Google,A,Summer Sale,Product Launch,1086.79,2332.95,0.07,Medium,20172,2024-01-04
C005,YouTube,B,Year-End Sale,Product Launch,1022.19,2418.95,0.06,High,18660,2024-01-05
C006,YouTube,B,Holiday Special,Brand Awareness,942.51,1825.83,0.06,Low,25292,2024-01-06
C007,YouTube,A,Holiday Extravaganza,Product Launch,1125.05,2739.93,0.07,Medium,19943,2024-01-07
C008,Google,A,Product Introduction,Promotional,1003.06,2402.46,0.05,High,18656,2024-01-08
C009,Instagram,B,New Year Campaign,Promotional,1218.41,2659.19,0.07,Low,20868,2024-01-09
C010,YouTube,B,New Product Launch,Product Launch,945.54,3057.54,0.07,Medium,25934,2024-01-10
C011,Facebook,B,Product Introduction,Product Launch,1094.22,2795.22,0.04,Medium,25340,2024-01-11
C012,Google,B,Winter Sale,Brand Awareness,1134.11,2785.59,0.06,Low,25337,2024-01-12
C013,YouTube,A,New Product Launch,Promotional,1006.62,1857.89,0.05,High,21703,2024-01-13
C014,Instagram,A,Holiday Extravaganza,Product Launch,992.46,1832.62,0.07,Low,19661,2024-01-14
C015,Instagram,B,Black Friday Deal,Promotional,870.15,3038.82,0.07,Medium,20134,2024-01-15
C016,Instagram,B,Product Launch,Promotional,1145.24,1975.64,0.04,High,23089,2024-01-16
C017,Facebook,B,Holiday Offer,Product Launch,958.96,2966.18,0.04,High,20443,2024-01-17
C018,Instagram,B,Summer Sale,Promotional,841.31,2978.12,0.06,Low,25845,2024-01-18
C019,Instagram,B,Winter Promo,Product Launch,1172.88,2512.73,0.07,Medium,25931,2024-01-19
C020,Google,A,Winter Collection,Product Launch,894.66,2324.98,0.04,Low,24203,2024-01-20
C021,YouTube,A,Exclusive Offer,Product Launch,811.28,2807.92,0.06,High,25380,2024-01-21
C022,Facebook,B,Summer Sale,Promotional,1060.12,2424.32,0.07,Medium,19310,2024-01-22
C023,Google,A,Product Launch,Brand Awareness,1167.81,2733.5,0.07,High,20016,2024-01-23
C024,Instagram,B,Tech Sale,Product Launch,1099.02,2288.5,0.07,Low,21553,2024-01-24
C025,YouTube,A,Summer Sale,Brand Awareness,980.15,2273.07,0.07,Medium,23560,2024-01-25
C026,Facebook,A,New Product Launch,Brand Awareness,973.25,3031.95,0.05,Medium,22301,2024-01-26
C027,Instagram,B,Flash Sale,Product Launch,1073.1,2391.87,0.03,Medium,24779,2024-01-27
C028,Instagram,A,Tech Review,Product Launch,891.15,2567.84,0.04,Medium,24851,2024-01-28
C029,YouTube,B,Holiday Campaign,Product Launch,805.47,2154.74,0.05,High,25927,2024-01-29
C030,YouTube,A,Autumn Sale,Promotional,1101.92,1909.37,0.04,Low,20710,2024-01-30
C031,YouTube,B,Seasonal Promotion,Promotional,1153.31,2293.7,0.07,Medium,19194,2024-01-31
C032,Instagram,B,Black Friday Deal,Product Launch,975.29,2758.56,0.04,Low,20246,2024-02-01
C033,Google,A,Special Event,Brand Awareness,834.74,2962.15,0.04,High,21332,2024-02-02
C034,Google,A,End of Year Sale,Promotional,1165.85,2043.05,0.03,Medium,23371,2024-02-03
C035,YouTube,B,Exclusive Offer,Promotional,943.99,2138.83,0.07,High,20482,2024-02-04
C036,YouTube,A,Holiday Extravaganza,Product Launch,923.38,2701.09,0.07,Low,20868,2024-02-05
C037,YouTube,B,Winter Promo,Product Launch,923.05,1568.6,0.07,Low,24850,2024-02-06
C038,YouTube,A,Flash Sale,Product Launch,1204.92,3010.26,0.07,Medium,25691,2024-02-07
C039,Instagram,B,Autumn Sale,Promotional,1236.18,2799.52,0.04,High,22873,2024-02-08
C040,Instagram,B,Black Friday Deal,Promotional,851.26,2565.49,0.08,Low,22925,2024-02-09
C041,Google,B,Winter Sale,Brand Awareness,955.03,2675.51,0.03,High,19321,2024-02-10
C042,Facebook,A,End of Year Sale,Product Launch,841.28,2680.73,0.07,Low,25355,2024-02-11
C043,Instagram,B,Year-Round Sale,Promotional,857.82,1913.24,0.05,High,24142,2024-02-12
C044,YouTube,B,New Year Campaign,Product Launch,1166.37,1932.8,0.03,Low,25376,2024-02-13
C045,Instagram,B,Summer Sale,Brand Awareness,1073.44,2425.93,0.05,High,23487,2024-02-14
C046,Facebook,B,Flash Sale,Promotional,1241.35,2439.91,0.05,Medium,22288,2024-02-15
C047,Google,B,Spring Collection,Product Launch,1238.37,2665.24,0.04,High,24509,2024-02-16
C048,Facebook,B,Limited Time Offer,Promotional,1057.87,2592.69,0.05,Medium,22758,2024-02-17
C049,Google,B,Seasonal Offer,Promotional,910.21,3036.66,0.06,High,21899,2024-02-18
C050,Google,B,Year-End Sale,Brand Awareness,1092.08,2918.68,0.05,Low,21038,2024-02-19
C051,YouTube,B,End of Year Promo,Brand Awareness,1083.35,2255.67,0.03,Medium,18931,2024-02-20
C052,YouTube,A,Flash Sale,Promotional,1004.62,1778.6,0.04,Medium,20494,2024-02-21
C053,Facebook,A,End of Year Promo,Product Launch,933.44,1777.06,0.08,Low,22810,2024-02-22
C054,Google,B,Year-Round Sale,Promotional,1055.25,2102.52,0.05,High,22192,2024-02-23
C055,YouTube,B,Holiday Campaign,Promotional,976.23,3149.09,0.04,Medium,18395,2024-02-24
C056,Instagram,B,Autumn Sale,Brand Awareness,1043.7,2617.69,0.06,Low,22340,2024-02-25
C057,YouTube,A,Holiday Offer,Product Launch,820.87,2849.91,0.05,Medium,20625,2024-02-26
C058,Instagram,A,New Year Promo,Promotional,1160.12,1859.78,0.06,Low,25033,2024-02-27
C059,Google,B,Spring Promo,Brand Awareness,866.22,2347.61,0.06,Medium,24105,2024-02-28
C060,YouTube,A,Exclusive Offer,Product Launch,1077.91,2690.28,0.04,High,18281,2024-02-29
C061,Google,B,Holiday Extravaganza,Brand Awareness,873.67,2847.23,0.04,High,22681,2024-03-01
C062,YouTube,A,Holiday Special,Brand Awareness,950.14,1565.2,0.06,High,25880,2024-03-02
C063,Google,B,Spring Promo,Brand Awareness,1245.0,3198.81,0.06,High,20752,2024-03-03
C064,Instagram,B,Product Introduction,Brand Awareness,1015.75,2254.82,0.08,Low,25884,2024-03-04
C065,Instagram,A,New Year Promo,Brand Awareness,1065.68,1680.59,0.03,High,19725,2024-03-05
C066,Google,A,Flash Sale,Brand Awareness,847.3,2482.38,0.03,Medium,25433,2024-03-06
C067,Google,B,Promotion Blitz,Brand Awareness,834.63,2837.41,0.06,Medium,23140,2024-03-07
C068,Instagram,A,Summer Sale,Product Launch,1115.15,2097.84,0.07,Low,20781,2024-03-08
C069,YouTube,B,Tech Review,Brand Awareness,1154.17,2852.31,0.07,High,25327,2024-03-09
C070,YouTube,B,Holiday Special,Product Launch,904.55,1769.92,0.06,Low,23371,2024-03-10
C071,Google,A,Year-End Sale,Brand Awareness,830.01,2674.89,0.08,Low,23146,2024-03-11
C072,Google,B,Holiday Offer,Product Launch,889.1,2463.3,0.05,Low,18198,2024-03-12
C073,Facebook,B,End of Year Promo,Promotional,1137.83,2639.09,0.05,Low,22137,2024-03-13
C074,YouTube,A,Winter Collection,Promotional,1202.79,3004.66,0.06,Low,20249,2024-03-14
C075,Google,B,Holiday Campaign,Promotional,823.89,2820.17,0.07,Medium,21966,2024-03-15
C076,Facebook,A,New Year Promo,Brand Awareness,984.14,2628.07,0.06,Low,18599,2024-03-16
C077,YouTube,A,Spring Collection,Promotional,1201.18,2117.85,0.06,Low,22820,2024-03-17
C078,Facebook,B,Spring Collection,Promotional,1120.56,1825.69,0.07,High,19341,2024-03-18
C079,Instagram,B,Summer Sale,Promotional,982.98,2449.43,0.06,Medium,23556,2024-03-19
C080,Google,B,New Product Launch,Product Launch,843.32,2334.28,0.07,Low,18314,2024-03-20
C081,Instagram,A,Flash Sale,Promotional,1053.2,1865.91,0.03,Low,18843,2024-03-21
C082,YouTube,B,Winter Sale,Brand Awareness,898.6,2102.83,0.08,High,23384,2024-03-22
C083,Instagram,A,Winter Sale,Product Launch,1153.41,3034.61,0.03,Low,18260,2024-03-23
C084,Instagram,A,Holiday Offer,Promotional,1157.4,1841.17,0.04,Medium,23649,2024-03-24
C085,YouTube,B,Summer Sale,Product Launch,1184.35,2803.51,0.04,Low,22846,2024-03-25
C086,Facebook,A,Holiday Offer,Brand Awareness,830.52,3154.0,0.08,Medium,20120,2024-03-26
C087,Google,A,New Year Promo,Promotional,953.92,3055.96,0.05,Medium,25199,2024-03-27
C088,Facebook,B,Winter Collection,Brand Awareness,816.93,2984.1,0.06,Medium,21065,2024-03-28
C089,Instagram,A,Summer Sale,Promotional,1205.59,1702.07,0.08,Low,25949,2024-03-29
C090,Google,A,End of Year Promo,Promotional,1112.24,3105.56,0.04,Medium,18186,2024-03-30
C091,Instagram,B,Spring Collection,Promotional,1067.25,1522.84,0.05,High,25550,2024-03-31
C092,Facebook,A,Product Launch,Brand Awareness,810.57,2623.9,0.06,Low,23136,2024-04-01
C093,Google,A,New Year Campaign,Brand Awareness,842.97,3110.08,0.08,High,24628,2024-04-02
C094,Google,A,Summer Sale,Product Launch,999.15,2114.95,0.06,Medium,25497,2024-04-03
C095,Google,B,Summer Sale,Brand Awareness,913.33,2244.14,0.06,Low,20824,2024-04-04
C096,Google,A,Summer Sale,Product Launch,1108.36,2738.77,0.07,High,18416,2024-04-05
C097,Facebook,B,Special Event,Brand Awareness,1078.57,2451.32,0.03,High,25178,2024-04-06
C098,YouTube,B,Exclusive Offer,Brand Awareness,1086.14,2094.76,0.06,High,19746,2024-04-07
C099,Facebook,A,Seasonal Promotion,Promotional,857.52,2749.76,0.06,High,21279,2024-04-08
C100,Google,B,Holiday Offer,Brand Awareness,934.01,3061.27,0.04,Medium,19412,2024-04-09
